Ticker,Declared Date,Payable Date,Ex Date,Distrib Amount,Income,Long Gain,Short Gain,ROC
CSQ,2015-9-29,2015-10-15,2015-10-7,0.0825,0.0176,,0.0649,
CSQ,2015-8-31,2015-9-15,2015-9-8,0.0825,0.0434,,0.0391,
CSQ,2015-7-31,2015-8-14,2015-8-7,0.0825,0.0825,,,
CSQ,2015-6-30,2015-7-15,2015-7-8,0.0825,0.0825,,,
CSQ,2015-5-29,2015-6-15,2015-6-8,0.0825,0.0825,,,
CSQ,2015-5-1,2015-5-15,2015-5-8,0.0825,0.0096,,0.0729,
CSQ,2015-3-31,2015-4-15,2015-4-8,0.0825,0.0599,,0.0226,
CSQ,2015-2-27,2015-3-16,2015-3-9,0.0825,0.0825,,,
CSQ,2015-1-30,2015-2-13,2015-2-6,0.0825,0.0825,,,
CSQ,2014-12-19,2015-1-6,2014-12-29,0.0825,0.0825,,,
CSQ,2014-11-26,2014-12-15,2014-12-8,0.0825,0.0825,,,
CSQ,2014-10-31,2014-11-14,2014-11-6,0.0825,0.0825,,,
CSQ,2014-9-29,2014-10-15,2014-10-7,0.0825,,0.0825,,
CSQ,2014-8-29,2014-9-15,2014-9-8,0.0825,,0.08013,0.00237,
CSQ,2014-8-1,2014-8-15,2014-8-8,0.0825,0.04975,,0.03275,
CSQ,2014-6-30,2014-7-15,2014-7-8,0.0825,0.04975,,0.03275,
CSQ,2014-5-30,2014-6-16,2014-6-9,0.0825,0.04975,,0.03275,
CSQ,2014-5-1,2014-5-15,2014-5-8,0.0825,0.04975,,0.03275,
CSQ,2014-3-31,2014-4-15,2014-4-8,0.0825,0.0593,,0.0232,
CSQ,2014-2-28,2014-3-14,2014-3-7,0.07,0.0357,,0.0343,
CSQ,2014-1-31,2014-2-14,2014-2-7,0.07,0.0176,,0.0524,
CSQ,2013-12-20,2014-1-6,2013-12-27,0.07,0.07,,,
CSQ,2013-11-29,2013-12-16,2013-12-9,0.07,0.07,,,
CSQ,2013-11-5,2013-11-15,2013-11-8,0.07,0.07,,,
CSQ,2013-9-30,2013-10-15,2013-10-8,0.07,0.04267,,0.02733,
CSQ,2013-8-30,2013-9-16,2013-9-9,0.07,0.04267,,0.02733,
CSQ,2013-8-1,2013-8-15,2013-8-8,0.07,0.04267,,0.02733,
CSQ,2013-6-28,2013-7-15,2013-7-8,0.07,0.0231,,0.0469,
CSQ,2013-5-31,2013-6-14,2013-6-7,0.07,0.0365,,0.0335,
CSQ,2013-4-30,2013-5-15,2013-5-8,0.07,0.059,,0.011,
CSQ,2013-3-28,2013-4-15,2013-4-8,0.07,0.024,,0.046,
CSQ,2013-3-1,2013-3-15,2013-3-8,0.07,,,0.07,
CSQ,2013-2-1,2013-2-15,2013-2-8,0.07,0.0306,,0.0394,
CSQ,2012-12-19,2013-1-4,2012-12-27,0.07,0.07,,,
CSQ,2012-11-30,2012-12-14,2012-12-7,0.07,0.07,,,
CSQ,2012-11-1,2012-11-16,2012-11-8,0.07,0.07,,,
CSQ,2012-10-1,2012-10-16,2012-10-9,0.07,0.05716,,0.01284,
CSQ,2012-9-4,2012-9-14,2012-9-7,0.07,0.05716,,0.01284,
CSQ,2012-7-31,2012-8-15,2012-8-8,0.07,0.05716,,0.01284,
CSQ,2012-6-29,2012-7-16,2012-7-9,0.07,0.05716,,0.01284,
CSQ,2012-6-1,2012-6-15,2012-6-8,0.07,0.0549,,0.0151,
CSQ,2012-4-30,2012-5-15,2012-5-8,0.07,0.07,,,
CSQ,2012-3-30,2012-4-16,2012-4-9,0.07,0.07,,,
CSQ,2012-3-1,2012-3-15,2012-3-8,0.07,0.0575,,0.0125,
CSQ,2012-1-31,2012-2-15,2012-2-8,0.07,0.07,,,
CSQ,2011-12-19,2012-1-5,2011-12-28,0.0525,0.0525,,,
CSQ,2011-12-1,2011-12-15,2011-12-8,0.0525,0.0525,,,
CSQ,2011-10-31,2011-11-15,2011-11-8,0.0525,0.0525,,,
CSQ,2011-10-4,2011-10-14,2011-10-6,0.0525,0.03836,,0.01414,
CSQ,2011-9-1,2011-9-15,2011-9-8,0.0525,0.03836,,0.01414,
CSQ,2011-7-29,2011-8-15,2011-8-8,0.0525,0.03836,,0.01414,
CSQ,2011-7-1,2011-7-15,2011-7-8,0.0525,0.03836,,0.01414,
CSQ,2011-6-1,2011-6-15,2011-6-8,0.0525,0.0525,,,
CSQ,2011-5-2,2011-5-16,2011-5-9,0.0525,0.0268,,0.0257,
CSQ,2011-4-1,2011-4-15,2011-4-8,0.0525,0.0302,,0.0223,
CSQ,2011-3-1,2011-3-15,2011-3-8,0.0525,0.023,,0.0295,
CSQ,2011-2-1,2011-2-15,2011-2-8,0.0525,0.0386,,0.0139,
CSQ,2010-12-20,2011-1-5,2010-12-28,0.0525,0.0525,,,
CSQ,2010-12-1,2010-12-10,2010-12-3,0.0525,0.0525,,,
CSQ,2010-11-1,2010-11-16,2010-11-9,0.0525,0.0525,,,
CSQ,2010-10-1,2010-10-15,2010-10-8,0.0525,0.03911,,0.01339,
